B rank energy bp_bound eig1 eig2 eig3 eig4 eig5 eig6 eig7 eig8 eig9 eig10 eig11 eig12 eig13 eig14 eig15 eig16 eig17 eig18
2.3000 1 1.05290894 1 0.9999999995 0.0000000011 0.0000000009 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002
2.3500 1 1.10575474 1 1.0000000013 0.0000000006 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.4000 1 1.15853930 1 1.0000000022 0.0000000009 0.0000000007 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.4500 1 1.21126447 1 0.9999999999 0.0000000009 0.0000000007 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.5000 1 1.26393202 1 0.9999999960 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.5500 1 1.31654367 1 0.9999999974 0.0000000008 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.6000 1 1.36910105 1 0.9999999985 0.0000000010 0.0000000008 0.0000000006 0.0000000005 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.6500 1 1.42160576 1 1.0000000029 0.0000000015 0.0000000012 0.0000000009 0.0000000008 0.0000000007 0.0000000007 0.0000000006 0.0000000005 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001
2.7000 1 1.47405933 1 0.9999999963 0.0000000009 0.0000000007 0.0000000006 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.7500 1 1.52646322 1 0.9999999929 0.0000000005 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
2.8000 1 1.57881885 1 0.9999999951 0.0000000009 0.0000000007 0.0000000006 0.0000000005 0.0000000005 0.0000000004 0.0000000004 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.8500 1 1.63112761 1 0.9999999916 0.0000000005 0.0000000004 0.0000000003 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000
2.9000 1 1.68339080 1 0.9999999940 0.0000000008 0.0000000007 0.0000000005 0.0000000004 0.0000000004 0.0000000004 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001
2.9500 1 1.73560970 1 0.9999999905 0.0000000003 0.0000000003 0.0000000002 0.0000000002 0.0000000002 0.0000000002 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000001 0.0000000000 0.0000000000 0.0000000000
